[probe] listening on ws://localhost:7777 for 45s (replay since -300s + live)...
[probe] --- 2 distinct pubkey(s) ---
pubkey fd2f10ba:
  kind=30200 x=caf218c6 ×2 label= visuals=[]
  kind=30200 x=7df890b3 ×2 label= visuals=[]
  kind=30200 x=2dc8ff41 ×2 label= visuals=[]
  kind=30200 x=45cf2de6 ×2 label= visuals=[]
  kind=30200 x=0e2accb1 ×2 label= visuals=[]
  kind=30200 x=1af328ab ×2 label= visuals=[]
  kind=30200 x=519f9db2 ×2 label= visuals=[tier-1-individual,tier-2-group,tier-3-retreat]
  kind=30200 x=1dea5f85 ×2 label= visuals=[intake-flow,arc-protocol,session-formats,follow-up]
  kind=30200 x=7a9e55e3 ×2 label= visuals=[pod-design,facilitation,cross-pollination]
  kind=30200 x=cadcd584 ×2 label= visuals=[arc-design,format,locations]
  kind=30200 x=eb954fc2 ×2 label= visuals=[]
  kind=30200 x=14b4a6b2 ×2 label= visuals=[]
  kind=30200 x=d353a1b8 ×2 label= visuals=[]
  kind=30200 x=6976b59c ×2 label= visuals=[]
  kind=30200 x=8cd22c4a ×2 label= visuals=[]
  kind=30200 x=8354509f ×2 label= visuals=[]
  kind=30200 x=a1899af1 ×2 label= visuals=[]
  kind=30200 x=b8eb16c0 ×2 label= visuals=[]
  kind=30200 x=59bdd838 ×2 label= visuals=[]
  kind=30200 x=dd4d4512 ×2 label= visuals=[]
  kind=30200 x=ce2c3f59 ×2 label= visuals=[]
  kind=30200 x=aa666df6 ×2 label= visuals=[]
  kind=30200 x=af4fda3c ×2 label= visuals=[]
  kind=30200 x=b418ce02 ×2 label= visuals=[foundational,advanced,mentor,curriculum,cohorts,assessments]
  kind=30200 x=62d727e8 ×2 label= visuals=[]
  kind=30200 x=f17a1122 ×2 label= visuals=[curriculum-12wk,cohort-schedule,application,alumni]
  kind=30200 x=3fe1aeb5 ×2 label= visuals=[ri-fundamentals,practice-modules,ethics,measurement]
  kind=30200 x=39df1125 ×2 label= visuals=[]
  kind=30200 x=a6e25c3b ×2 label= visuals=[]
  kind=30200 x=979fc5aa ×2 label= visuals=[]
  kind=30200 x=05b570d5 ×2 label= visuals=[]
  kind=30200 x=334b8a4e ×2 label= visuals=[]
  kind=30200 x=f15426ca ×2 label= visuals=[]
  kind=30200 x=97de3be6 ×2 label= visuals=[]
  kind=30200 x=8ad1d9fc ×2 label= visuals=[]
  kind=30200 x=a9752d4b ×2 label= visuals=[workshops,retreats,summits,calendar,playbook,archive]
  kind=30200 x=7d17e22a ×2 label= visuals=[]
  kind=30200 x=35fc2c97 ×2 label= visuals=[]
  kind=30200 x=b156b45d ×2 label= visuals=[]
  kind=30200 x=6675f8c2 ×2 label= visuals=[]
  kind=30200 x=7fb5773d ×2 label= visuals=[]
  kind=30200 x=34123a90 ×2 label= visuals=[run-of-show,staff-roles,materials-list,venue-spec]
  kind=30200 x=2f95f5dd ×2 label= visuals=[]
  kind=30200 x=5cf6ab0d ×2 label= visuals=[]
  kind=30200 x=6504eb21 ×2 label= visuals=[]
  kind=30200 x=5eb3ba8d ×2 label= visuals=[]
  kind=30200 x=b9c76727 ×2 label= visuals=[circles,practice-spaces,members,library,feedback,governance]
  kind=30200 x=3c18106a ×2 label= visuals=[]
  kind=30200 x=af2622e4 ×2 label= visuals=[]
  kind=30200 x=b2b6d3f9 ×2 label= visuals=[]
  kind=30200 x=745b8ba3 ×2 label= visuals=[]
  kind=30200 x=f7ccadde ×2 label= visuals=[]
  kind=30200 x=0657d0a7 ×2 label= visuals=[circle-charter,facilitator-guide,cadence]
  kind=30200 x=9255458b ×2 label= visuals=[]
  kind=30200 x=a28eb069 ×2 label= visuals=[]
  kind=30200 x=139c6c44 ×2 label= visuals=[]
  kind=30200 x=e07dbea6 ×2 label= visuals=[essays,podcasts,talks,frameworks,case-studies,publishing]
  kind=30200 x=d081651a ×2 label= visuals=[]
  kind=30200 x=71305206 ×2 label= visuals=[]
  kind=30200 x=3c359ebb ×2 label= visuals=[]
  kind=30200 x=a19bc653 ×2 label= visuals=[]
